Date,Wallet,Type,Category name,Amount,Currency,Note,Labels,Author,Date_2,year,month,YearMonth
2024-10-01T17:07:37+00:00,Monthly,Expense,Bills & Fees,-101.82,GBP,,monthly,,01/10/2024,2024,10,2024-10
2024-10-02T17:07:37+00:00,Monthly,Expense,Food & Drink,-46.952,GBP,,monthly,,02/10/2024,2024,10,2024-10
2024-10-02T17:07:37+00:00,Monthly,Expense,Food & Drink,-23.648,GBP,,monthly,,02/10/2024,2024,10,2024-10
2024-10-04T17:07:37+00:00,Monthly,Expense,Bills & Fees,-36.324,GBP,,monthly,,04/10/2024,2024,10,2024-10
2024-10-04T17:07:37+00:00,Monthly,Expense,Food & Drink,-49.28,GBP,,monthly,,04/10/2024,2024,10,2024-10
2024-10-05T17:07:37+00:00,Monthly,Expense,Education,-46.56,GBP,,monthly,,05/10/2024,2024,10,2024-10
2024-10-06T17:07:37+00:00,Monthly,Expense,Bills & Fees,-45.372,GBP,,monthly,,06/10/2024,2024,10,2024-10
2024-10-08T17:07:37+00:00,Monthly,Expense,Bills & Fees,-27.045,GBP,,monthly,,08/10/2024,2024,10,2024-10
2024-10-08T17:07:37+00:00,Monthly,Expense,Food & Drink,-26.028,GBP,,monthly,,08/10/2024,2024,10,2024-10
2024-10-09T17:07:37+00:00,Monthly,Expense,Food & Drink,-20.32,GBP,,monthly,,09/10/2024,2024,10,2024-10
2024-10-10T17:07:37+00:00,Monthly,Expense,Food & Drink,-14.553,GBP,,monthly,,10/10/2024,2024,10,2024-10
2024-10-11T17:07:37+00:00,Monthly,Expense,Food & Drink,-20.36,GBP,,monthly,,11/10/2024,2024,10,2024-10
2024-10-11T17:07:37+00:00,Monthly,Expense,Food & Drink,-57.01,GBP,,monthly,,11/10/2024,2024,10,2024-10
2024-10-15T17:07:37+00:00,Monthly,Expense,Bills & Fees,-108.192,GBP,,monthly,,15/10/2024,2024,10,2024-10
2024-10-16T17:07:37+00:00,Monthly,Expense,Home,-50.04,GBP,,monthly,,16/10/2024,2024,10,2024-10
2024-10-16T17:07:37+00:00,Monthly,Expense,Alcohol and cigarettes,-116.568,GBP,,monthly,,16/10/2024,2024,10,2024-10
2024-10-16T17:07:37+00:00,Monthly,Expense,Bills & Fees,-76.93,GBP,,monthly,,16/10/2024,2024,10,2024-10
2024-10-17T17:07:37+00:00,Monthly,Expense,Bills & Fees,-102.454,GBP,,monthly,,17/10/2024,2024,10,2024-10
2024-10-18T17:07:37+00:00,Monthly,Expense,Bills & Fees,-68.904,GBP,,monthly,,18/10/2024,2024,10,2024-10
2024-10-18T17:07:37+00:00,Monthly,Expense,Bills & Fees,-71.68,GBP,,monthly,,18/10/2024,2024,10,2024-10
2024-10-18T17:07:37+00:00,Monthly,Expense,Eating out/take away,-68.882,GBP,,monthly,,18/10/2024,2024,10,2024-10
2024-10-19T17:07:37+00:00,Monthly,Expense,Transport,-71.62,GBP,,monthly,,19/10/2024,2024,10,2024-10
2024-10-19T17:07:37+00:00,Monthly,Expense,Bills & Fees,-91.905,GBP,,monthly,,19/10/2024,2024,10,2024-10
2024-10-19T17:07:37+00:00,Monthly,Expense,Bills & Fees,-117.072,GBP,,monthly,,19/10/2024,2024,10,2024-10
2024-10-19T17:07:37+00:00,Monthly,Expense,Food & Drink,-38.742,GBP,,monthly,,19/10/2024,2024,10,2024-10
2024-10-19T17:07:37+00:00,Monthly,Expense,Alcohol and cigarettes,-53.966,GBP,,monthly,,19/10/2024,2024,10,2024-10
2024-10-20T17:07:37+00:00,Monthly,Expense,Transport,-44.83,GBP,,monthly,,20/10/2024,2024,10,2024-10
2024-10-20T17:07:37+00:00,Monthly,Expense,Eating out/take away,-23.22,GBP,,monthly,,20/10/2024,2024,10,2024-10
2024-10-21T17:07:37+00:00,Monthly,Expense,Food & Drink,-4.56,GBP,,monthly,,21/10/2024,2024,10,2024-10
2024-10-21T17:07:37+00:00,Monthly,Expense,Bills & Fees,-93.3,GBP,,monthly,,21/10/2024,2024,10,2024-10
2024-10-23T17:07:37+00:00,Monthly,Expense,Bills & Fees,-56.673,GBP,,monthly,,23/10/2024,2024,10,2024-10
2024-10-24T17:07:37+00:00,Monthly,Expense,Healthcare,-26.136,GBP,,monthly,,24/10/2024,2024,10,2024-10
2024-10-25T17:07:37+00:00,Monthly,Expense,Healthcare,-57.42,GBP,,monthly,,25/10/2024,2024,10,2024-10
2024-10-26T17:07:37+00:00,Monthly,Expense,Eating out/take away,-24.794,GBP,,monthly,,26/10/2024,2024,10,2024-10
2024-10-28T17:07:37+00:00,Monthly,Expense,Eating out/take away,-23.254,GBP,,monthly,,28/10/2024,2024,10,2024-10
2024-10-01T17:07:37+00:00,Monthly,Income,Salary,1364.0,GBP,,monthly,,01/10/2024,2024,10,2024-10
2024-10-17T15:47:43+00:00,Monthly,Income,Other,66.0,GBP,Elec rebate,Time to time,,17/10/2024,2024,10,2024-10
2024-10-17T15:47:43+00:00,Monthly,Income,Other,66.0,GBP,Elec rebate,Time to time,,17/10/2024,2024,10,2024-10
2024-10-29T20:20:07+00:00,Expense,Expense,Bills & Fees,-10.0,,Giffgaff,monthly,,,2024,10,2024-10
